seed_query,source_video_id,video_id,title,channel_title,similarity
healthy cooking,NarYaExBW-k,oxXNklNgmbM,The 1 Dollar Healthy Rice Bowl,Joshua Weissman,0.2596239575437491
healthy cooking,NarYaExBW-k,Mk5mhv6bxg8,veg pulao | masala rice | healthy cooking with Ekta #shorts #rice  #vegpulao #healthycooking #recipe,Healthy cooking with ekta - Hindi,0.2347609342841276
healthy cooking,NarYaExBW-k,ZR3G6BICNAU,Easy and healthy dinner!,Jess Linnea,0.1908812305315349
healthy cooking,NarYaExBW-k,AbhkBDyq6nU,Craving a burger? Eat this instead 🤝 #mealprep,Noel Deyzel,0.1845633351894475
healthy cooking,NarYaExBW-k,EFm2gbaXnWc,Tasty Veggie Recipes You’ll Actually Love 😋 | Easy &amp; Healthy Cooking,House of Tastie,0.1703775628011558
healthy cooking,izWRBNSVlc0,1EoHTyLMNS0,healthy food is bomb not boring 🌈  I‘ll show you how,growingannanas,0.4986146799486816
healthy cooking,izWRBNSVlc0,iSqdvi9_Vfg,Healthy meal prepping doesn’t have to be boring :),Josh Bailey,0.3040869929890203
healthy cooking,izWRBNSVlc0,L6iCj_iCIVM,What does your meal look like? Let us know in the comments below 👇🏻 #fitness #health #workout,FITTR,0.219064261528221
healthy cooking,izWRBNSVlc0,hapjShCi254,How to ACTUALLY start cooking Healthy Food - 5 habits,Ethan Chlebowski,0.1319144104511587
healthy cooking,izWRBNSVlc0,aAzN2efRXns,47 Food Hacks To Make Your Food Healthier,Joshua Weissman,0.1253385071446142
healthy cooking,n3_3TxHXfPU,t2Bt5FXCRQA,Easy Healthy Dinner on a Budget - recipe in the caption #plantbased #budgetmeals #recipes #shorts,Nutrition Babe,0.2910561418433483
healthy cooking,n3_3TxHXfPU,6Vzt8dtaBec,"The BEST Meal Prepped Burritos (Low cost, low calorie, high protein)",Chef Tyler,0.2798559586751861
healthy cooking,n3_3TxHXfPU,m7Aj3xvfgaE,10 minute high protein low carb healthy dinner,iRick Wiggins,0.2267429037263617
healthy cooking,n3_3TxHXfPU,jwMo_ySGIMA,WHAT I EAT IN A DAY | 100G+ Protein | Link to Full Recipes⬆️ #healthyrecipes #whatieatinaday,fitfoodieselma,0.1645303594005704
