src_idx,src_video_id,dst_idx,dst_video_id,similarity
0,NarYaExBW-k,126,Mk5mhv6bxg8,0.25221284172737896
0,NarYaExBW-k,142,oxXNklNgmbM,0.236270822055487
0,NarYaExBW-k,77,AbhkBDyq6nU,0.18516854222408607
0,NarYaExBW-k,74,ZR3G6BICNAU,0.1813566334109666
0,NarYaExBW-k,36,MStTmo7rZWo,0.16167959641983423
1,izWRBNSVlc0,72,1EoHTyLMNS0,0.7236665295008035
1,izWRBNSVlc0,28,iSqdvi9_Vfg,0.22864277737287975
1,izWRBNSVlc0,13,hapjShCi254,0.21525097985210795
1,izWRBNSVlc0,243,kNj3aPiudMg,0.17667287157863776
1,izWRBNSVlc0,63,mjhaUqpBbJU,0.17582194196344414
2,n3_3TxHXfPU,114,t2Bt5FXCRQA,0.32117283347686154
2,n3_3TxHXfPU,70,6Vzt8dtaBec,0.2278143327365367
2,n3_3TxHXfPU,49,m7Aj3xvfgaE,0.21853891869551328
2,n3_3TxHXfPU,161,QTdD40Ay59g,0.1876322929935147
2,n3_3TxHXfPU,193,SIxHT-dNRvI,0.18053365604112026
3,hd6M9dE7ofM,20,OIwC6Jv55Hk,0.4702739855507507
3,hd6M9dE7ofM,9,KiVmaYyfEsA,0.4540155874106699
3,hd6M9dE7ofM,45,-9JjzuC43PY,0.4084808757248005
3,hd6M9dE7ofM,34,3fKHwLXjDzo,0.40132496572121346
3,hd6M9dE7ofM,31,skzC9F53q6I,0.3045524438561865
4,2NFtEisTAQQ,76,Qb5Amsjdw5Q,0.23667403803323367
4,2NFtEisTAQQ,65,9i3xFDMOhlU,0.21925711612674098
4,2NFtEisTAQQ,134,tVKCe1Werz4,0.16350317028990144
4,2NFtEisTAQQ,97,LXACilU9ies,0.15930839881997164
4,2NFtEisTAQQ,109,Wh8gS80lGmY,0.15063097054522337
5,6FZwdr9elLA,99,rril8ZCXiQE,0.3642814493399149
5,6FZwdr9elLA,127,lte4p46z8xw,0.24003559742203154
5,6FZwdr9elLA,106,IBWfn0BC-2E,0.21923258434610682
5,6FZwdr9elLA,38,c1EpTfvPc84,0.20865298140930316
5,6FZwdr9elLA,24,PuZz6UBwmrY,0.19087431365638155
6,TNuL1z5yCr0,95,ZaEtt6lmNWE,0.20670542380535084
6,TNuL1z5yCr0,45,-9JjzuC43PY,0.163308740854668
6,TNuL1z5yCr0,19,lz0ndvU9HKw,0.14616783792198898
6,TNuL1z5yCr0,41,AYXfaVD5o40,0.12835822327879728
6,TNuL1z5yCr0,161,QTdD40Ay59g,0.11478912654466623
7,4QAD9Zj9eP4,81,5hs3Vfgenrg,0.17203839941250154
7,4QAD9Zj9eP4,141,EqJPqxEz8CA,0.15214290228989708
7,4QAD9Zj9eP4,83,mZQ9s_tLFPU,0.14146430113723843
7,4QAD9Zj9eP4,23,HeUXIKTcuj4,0.13956474676815872
7,4QAD9Zj9eP4,125,zQhjxZhIgG8,0.12930198518757735
8,EFm2gbaXnWc,127,lte4p46z8xw,0.3388404160409802
8,EFm2gbaXnWc,54,B0qfFHMHbPI,0.23870700236291165
8,EFm2gbaXnWc,13,hapjShCi254,0.22310089788883858
8,EFm2gbaXnWc,117,7MXpsXzezuI,0.18111931935781572
8,EFm2gbaXnWc,20,OIwC6Jv55Hk,0.17858632766035623
9,KiVmaYyfEsA,34,3fKHwLXjDzo,0.5483562308010894
9,KiVmaYyfEsA,45,-9JjzuC43PY,0.5050637073865445
9,KiVmaYyfEsA,3,hd6M9dE7ofM,0.4540155874106699
9,KiVmaYyfEsA,31,skzC9F53q6I,0.4303159704569997
9,KiVmaYyfEsA,30,shYuaHDzdXc,0.4025327056088898
10,_ZYXHKeQKBk,129,Rtj26E-0hwk,0.33069810176144254
10,_ZYXHKeQKBk,120,uFGp9GIF2Wk,0.3290477310395698
10,_ZYXHKeQKBk,112,uc-mAeMhb6Y,0.2783682183812925
10,_ZYXHKeQKBk,84,dRv1w3jjCGI,0.27640303223696383
10,_ZYXHKeQKBk,26,9FeRNZP0yrc,0.16794111645102358
11,X1inmvjOIbc,34,3fKHwLXjDzo,0.47818623289771955
11,X1inmvjOIbc,31,skzC9F53q6I,0.34049008626725374
11,X1inmvjOIbc,409,jReivdS83Mo,0.2783618646153388
11,X1inmvjOIbc,95,ZaEtt6lmNWE,0.267805917119166
11,X1inmvjOIbc,9,KiVmaYyfEsA,0.2622164002927654
12,kxWsu-UVP60,74,ZR3G6BICNAU,0.23228878227012384
12,kxWsu-UVP60,121,PrsFXwRYNiM,0.1443167369880053
12,kxWsu-UVP60,198,JRgBkv_N9PY,0.14010764640876297
12,kxWsu-UVP60,49,m7Aj3xvfgaE,0.12738830379247137
12,kxWsu-UVP60,28,iSqdvi9_Vfg,0.1243560332311263
13,hapjShCi254,38,c1EpTfvPc84,0.7520696715951851
13,hapjShCi254,56,2vO1CUtP4vI,0.23121662223006983
13,hapjShCi254,243,kNj3aPiudMg,0.2252531034400385
13,hapjShCi254,8,EFm2gbaXnWc,0.22310089788883858
13,hapjShCi254,1,izWRBNSVlc0,0.21525097985210795
14,jXtJC3fizQA,9,KiVmaYyfEsA,0.32009793534544967
14,jXtJC3fizQA,3,hd6M9dE7ofM,0.24493456424604143
14,jXtJC3fizQA,45,-9JjzuC43PY,0.22649281042647462
14,jXtJC3fizQA,34,3fKHwLXjDzo,0.21483013248129734
14,jXtJC3fizQA,57,tJoz4Dh3qqI,0.2099868232417158
15,JCKSVuwtOJ8,49,m7Aj3xvfgaE,0.44359100705838156
15,JCKSVuwtOJ8,85,B8IjM-he2Fs,0.2677653244613296
15,JCKSVuwtOJ8,70,6Vzt8dtaBec,0.25051813735542827
15,JCKSVuwtOJ8,34,3fKHwLXjDzo,0.22103921114950237
15,JCKSVuwtOJ8,36,MStTmo7rZWo,0.19405224177388108
16,JZALWKHCc84,37,s3ubCNj2228,0.17695638267398206
16,JZALWKHCc84,21,QKeX18l06Zk,0.1467800546758907
