seed_query,video_id,title,description,channel_title,text,cluster
healthy cooking,NarYaExBW-k,Easy &amp; Healthy Ground Beef Rice Bowls,,Kwokspots,easy amp healthy ground beef rice bowls,0
healthy cooking,izWRBNSVlc0,HEALTHY FOOD IS NOT BORING! Let me show you how,,growingannanas,healthy food is not boring let me show you how,0
healthy cooking,n3_3TxHXfPU,How To EAT HEALTHY on a LOW BUDGET,,Adam Frater,how to eat healthy on a low budget,0
healthy cooking,hd6M9dE7ofM,Day 3 of 30 Days of Healthy Breakfast Meal Prep Recipes😍 #highprotein #mealprep #healthyrecipes,Day 3 of 30 Days of Healthy & High-protein Breakfast Meal Prep Recipes: Blueberry Cheesecake Baked Oats   These contain ...,fitfoodieselma,day 3 of 30 days of healthy breakfast meal prep recipes highprotein mealprep healthyrecipes day 3 of 30 days of healthy high protein breakfast meal prep recipes blueberry cheesecake baked oats these contain,0
healthy cooking,2NFtEisTAQQ,"This recipe will blow your mind, you’ll never have salads any other way. Made a masterpiece #recipe",This recipe is out of this world [save it] heaven on earth. Esta receta es el cielo en la tierra [salvala] Recipe yields 2 servings: 1 ...,Massy Arias,this recipe will blow your mind you ll never have salads any other way made a masterpiece recipe this recipe is out of this world save it heaven on earth esta receta es el cielo en la tierra salvala recipe yields 2 servings 1,0
healthy cooking,6FZwdr9elLA,How to Cook Broccoli Correctly #shorts,"How to Cook Broccoli Correctly #shorts #broccoli #healthy | ThatSavageKid Don't forget to Subscribe, enable notifications, and ...",That Savage Kitchen,how to cook broccoli correctly shorts how to cook broccoli correctly shorts broccoli healthy thatsavagekid don t forget to subscribe enable notifications and,0
healthy cooking,TNuL1z5yCr0,The Cheapest Mealprep Possible👀 (Noel Deyzel),"How to prep cheap and wholesome meals to help reach your goals. (@NoelDeyzel ) #noeldeyzel, #mealprep #fitnessjourney.",Noel Deyzel,the cheapest mealprep possible noel deyzel how to prep cheap and wholesome meals to help reach your goals noeldeyzel noeldeyzel mealprep fitnessjourney,0
healthy cooking,4QAD9Zj9eP4,Healthy Tuna Salad #shorts,tuna #tunasalad #healthyrecipe Full recipe here: https://youtube.com/shorts/evEv2-ukE1I.,Love Kari Cooking,healthy tuna salad shorts tuna tunasalad healthyrecipe full recipe here https youtube com shorts evev2 uke1i,0
healthy cooking,EFm2gbaXnWc,Tasty Veggie Recipes You’ll Actually Love 😋 | Easy &amp; Healthy Cooking,,House of Tastie,tasty veggie recipes you ll actually love easy amp healthy cooking,0
healthy cooking,KiVmaYyfEsA,Healthy &amp; High Protein Breakfast Meal Prep Idea #highprotein #mealprep #healthyrecipes,Healthy Breakfast Meal Prep: High-protein Overnight Oats   These overnight oats have a super creamy texture and they are so ...,fitfoodieselma,healthy amp high protein breakfast meal prep idea highprotein mealprep healthyrecipes healthy breakfast meal prep high protein overnight oats these overnight oats have a super creamy texture and they are so,0
healthy cooking,_ZYXHKeQKBk,"If you have an air fryer, MAKE THIS!",airfryer #shorts #salmon #cooking https://tiffycooks.com/ginger-glazed-salmon-bites-air-fryer/,TIFFYCOOKS,if you have an air fryer make this airfryer shorts salmon cooking https tiffycooks com ginger glazed salmon bites air fryer,0
healthy cooking,X1inmvjOIbc,Easy Healthy 60 Minute Meal Prep,,Josh Bailey,easy healthy 60 minute meal prep,0
healthy cooking,kxWsu-UVP60,A dinner that doesn’t require your entire spice cabinet,,Sara - Nutrient Matters,a dinner that doesn t require your entire spice cabinet,0
healthy cooking,hapjShCi254,How to ACTUALLY start cooking Healthy Food - 5 habits,"If you want to stop wasting food and start cooking smarter, the Cook Well app is for you: ...",Ethan Chlebowski,how to actually start cooking healthy food 5 habits if you want to stop wasting food and start cooking smarter the cook well app is for you,0
healthy cooking,jXtJC3fizQA,High-protein Breakfast Idea: Fluffy Pancakes🤩 #highprotein #healthyrecipes #glutenfree,Easy High-protein Fluffy Pancakes   These pancakes are one of my favorite recipes I have ever created and so many of you have ...,fitfoodieselma,high protein breakfast idea fluffy pancakes highprotein healthyrecipes glutenfree easy high protein fluffy pancakes these pancakes are one of my favorite recipes i have ever created and so many of you have,0
healthy cooking,JCKSVuwtOJ8,Tuscan Chicken Bake 🥰 (Low Carb + High Protein!) #ChosenPartner,Tuscan Chicken Bake (Low Carb + High Protein!) #ChosenPartner Shop Chosen Foods Here: ...,Low Carb Love,tuscan chicken bake low carb high protein chosenpartner tuscan chicken bake low carb high protein chosenpartner shop chosen foods here,0
healthy cooking,JZALWKHCc84,Easy &amp; Healthy Big Mac Tacos 🌮🍔 #lowcalorie #highprotein #healthyrecipes #easyrecipe,(Per Taco - 4 Total) 185 Calories 13gC | 7.5gF | 14gP Ingredients: (Tacos) 180g Extra Lean Beef Mince (total raw weight - 45g per ...,Aussie Fitness,easy amp healthy big mac tacos lowcalorie highprotein healthyrecipes easyrecipe per taco 4 total 185 calories 13gc 7 5gf 14gp ingredients tacos 180g extra lean beef mince total raw weight 45g per,0
healthy cooking,wi5-THIaA4Y,Roasted Vegetables So Good You’ll Forget They’re Healthy,Looking for the perfect roasted vegetables recipe? ✨ This easy sheet pan dinner pairs beautifully roasted vegetables with a ...,Ahmad Noori,roasted vegetables so good you ll forget they re healthy looking for the perfect roasted vegetables recipe this easy sheet pan dinner pairs beautifully roasted vegetables with a,0
healthy cooking,9h9S9kD67-Q,Clean Eating For Beginners | Never &quot;diet&quot; again,https://green-healthy-cooking.thrivecart.com/6-week-clean-eating-program/?ref=yt The 6-Week Clean Eating Program is a ...,Green Healthy Cooking,clean eating for beginners never quot diet quot again https green healthy cooking thrivecart com 6 week clean eating program ref yt the 6 week clean eating program is a,0
healthy cooking,lz0ndvU9HKw,Making a 5 day weight loss meal prep for $21 #food #cooking #weightloss #mealprep,,Benji Xavier,making a 5 day weight loss meal prep for 21 food cooking weightloss mealprep,0
healthy cooking,OIwC6Jv55Hk,30 DAYS OF QUICK HEALTHY RECIPES,carolefood.com #shorts #recipes.,carole ,30 days of quick healthy recipes carolefood com shorts recipes,0
healthy cooking,QKeX18l06Zk,High protein lunches for $3 per lunch #mealprep #budgetshopping  #healthyrecipes #healthyeating,,Amanda (Meixner) Rocchio,high protein lunches for 3 per lunch mealprep budgetshopping healthyrecipes healthyeating,0
healthy cooking,__2ymJz__oo,"Reminder, healthy food isn&#39;t bland 🤤","7 Day Free Trial on the LEAN App! Get access to structured guides, personalised meal plans, hundreds of recipes, and so ...",Lilly Sabri,reminder healthy food isn 39 t bland 7 day free trial on the lean app get access to structured guides personalised meal plans hundreds of recipes and so,0
healthy cooking,HeUXIKTcuj4,I’m obsessed with this salad #shorts,"You are absolutely going to love this simple and delicious pasta salad recipe. It's vegan, super easy to make and perfect for meal ...",Carleigh Bodrug,i m obsessed with this salad shorts you are absolutely going to love this simple and delicious pasta salad recipe it s vegan super easy to make and perfect for meal,0
healthy cooking,PuZz6UBwmrY,Make Broccoli that actually taste good | MyHealthyDish,,MyHealthyDish,make broccoli that actually taste good myhealthydish,0
healthy cooking,kMSLTWqh04U,The Best Meal Prep I’ve Done To Date,shorts.,The Golden Balance,the best meal prep i ve done to date shorts,0
healthy cooking,9FeRNZP0yrc,Healthy Falafel,"Air Fryer Falafel Recipe Into a food processor add 250g chickpeas you've soaked overnight, with 3 garlic cloves and 1 medium ...",Lirim Gula ,healthy falafel air fryer falafel recipe into a food processor add 250g chickpeas you ve soaked overnight with 3 garlic cloves and 1 medium,0
healthy cooking,aAzN2efRXns,47 Food Hacks To Make Your Food Healthier,"Staying on a diet and eating healthy whether a New Years Resolution or not, should be easier… Hopefully this helps. Get My ...",Joshua Weissman,47 food hacks to make your food healthier staying on a diet and eating healthy whether a new years resolution or not should be easier hopefully this helps get my,0
healthy cooking,iSqdvi9_Vfg,Healthy meal prepping doesn’t have to be boring :),"Meal prepping doesn't have to be boring. This is the new fast food! Meal 1: Vanilla blueberry & almond, overnight oats Meal 2: ...",Josh Bailey,healthy meal prepping doesn t have to be boring meal prepping doesn t have to be boring this is the new fast food meal 1 vanilla blueberry almond overnight oats meal 2,0
healthy cooking,O2wz9OpsQu8,Mediterranean Bowls | Healthy and Easy Mediterranean Diet Recipe,"Healthy & Delicious Mediterranean Bowl Recipe! Looking for an easy, flavorful, and nutrient-packed meal? This Mediterranean ...",The Mediterranean Dish,mediterranean bowls healthy and easy mediterranean diet recipe healthy delicious mediterranean bowl recipe looking for an easy flavorful and nutrient packed meal this mediterranean,0
healthy cooking,shYuaHDzdXc,"super THICK high protein overnight oats (no protein powder, no banana!) #mealprep #nutritionist 🍫❤️",,Emilys World,super thick high protein overnight oats no protein powder no banana mealprep nutritionist,0
healthy cooking,skzC9F53q6I,High Protein Meal Prep Lunch,,Fayette Nyehn,high protein meal prep lunch,0
healthy cooking,dDLRaiocb_k,Healthy Meals That Don&#39;t Suck,shorts #kwoowk.,KWOOWK,healthy meals that don 39 t suck shorts kwoowk,0
healthy cooking,SJzJjR148f0,What My Kids Eat in a Day🍓 #healthy #meals #toddlermeals #recipe #mom #organic #mealideas #kids,,Mama’s on a Budget,what my kids eat in a day healthy meals toddlermeals recipe mom organic mealideas kids,0
healthy cooking,3fKHwLXjDzo,Healthy high protein meal prep,,My Protein Pantry,healthy high protein meal prep,0
healthy cooking,2WDIBat-Jgo,Cooking Basics: How To Stirfry,shorts #kwoowk.,KWOOWK,cooking basics how to stirfry shorts kwoowk,0
healthy cooking,MStTmo7rZWo,"Macro-Friendly, High Protein Butter Chicken #shorts","Butter Chicken Stealth Health Slow Cooker Meal Prep Series, Episode 7 Per Serving (Rice Bowls): 460 Calories 38g Protein 50g ...",Stealth Health Life,macro friendly high protein butter chicken shorts butter chicken stealth health slow cooker meal prep series episode 7 per serving rice bowls 460 calories 38g protein 50g,0
healthy cooking,s3ubCNj2228,The perfect way to ENJOY your greens #koreanfood #healthyrecipes #vegetables,Full Recipe ⇩ Macros per 2 servings: Protein: 4g Carbs: 6g Fat: 4g Calories: 67 Ingredients per 2 servings: - 8 ounces spinach ...,Joe X Fitness,the perfect way to enjoy your greens koreanfood healthyrecipes vegetables full recipe macros per 2 servings protein 4g carbs 6g fat 4g calories 67 ingredients per 2 servings 8 ounces spinach,0
healthy cooking,c1EpTfvPc84,How to cook Healthy Meals and never run out of ideas.,"If you want to stop wasting food and start cooking smarter, the Cook Well app is for you: ...",Ethan Chlebowski,how to cook healthy meals and never run out of ideas if you want to stop wasting food and start cooking smarter the cook well app is for you,0
healthy cooking,P7QfrTtUBzs,Healthy Snack Idea for Vegetable Haters 🥒😏 #healthyrecipes #recipe,,Healthy Emmie,healthy snack idea for vegetable haters healthyrecipes recipe,0
healthy cooking,ZgqsW84SIs8,5-ingredient Healthy Brownies😍😍 #healthydessert #healthyrecipes #easyrecipes,"5-ingredient Healthy Brownies   These brownies are fudgy, chocolaty and yummy   They are also super easy to make!",fitfoodieselma,5 ingredient healthy brownies healthydessert healthyrecipes easyrecipes 5 ingredient healthy brownies these brownies are fudgy chocolaty and yummy they are also super easy to make,0
healthy cooking,AYXfaVD5o40,"Cheap And Healthy Meals For The Week, Done In 1 Hour",I'm challenging myself to get shredded with meal prep... but it actually tastes good. Get My Cookbook: ...,Joshua Weissman,cheap and healthy meals for the week done in 1 hour i m challenging myself to get shredded with meal prep but it actually tastes good get my cookbook,0
healthy cooking,JXwErCfXh54,Hydrating Fruit Salad with Honey | Meal Prep Friendly | No Refined Sugar | Vitamin-Rich &amp; Refreshing,Hydrating Fruit Salad with Honey & Mint (Meal Prep Friendly | No Refined Sugar | Vitamin-Rich & Refreshing) Ingredients ...,Anastasia’s cookhouse | Easy & Healthy Recipes 🌱,hydrating fruit salad with honey meal prep friendly no refined sugar vitamin rich amp refreshing hydrating fruit salad with honey mint meal prep friendly no refined sugar vitamin rich refreshing ingredients,0
healthy cooking,LxNo-c0iHw8,Healthy 15 Minute Lunch (cool people only),shorts #kwoowk.,KWOOWK,healthy 15 minute lunch cool people only shorts kwoowk,0
healthy cooking,khE8HNWV1fI,THE EASIEST 20-MINUTE KETO DINNER EVER - One-pot Pesto Chicken Skillet - CHEF MICHAEL,"FULL (FREE!) RECIPE: https://chef-michael.com/recipes/keto-pesto-chicken QUICK, EASY, CHEAP, AND HEALTHY!",Chef Michael,the easiest 20 minute keto dinner ever one pot pesto chicken skillet chef michael full free recipe https chef michael com recipes keto pesto chicken quick easy cheap and healthy,0
healthy cooking,-9JjzuC43PY,High Protein Breakfast Bowl Meal Prep #mealprep #breakfastmealprep #highprotein,,Bree’s Balanced Life,high protein breakfast bowl meal prep mealprep breakfastmealprep highprotein,0
healthy cooking,VNd4Bx2MWK4,What this dietitian with IBS eats for dinner #shorts,,"Kylie Sakaida, MS, RD",what this dietitian with ibs eats for dinner shorts,0
healthy cooking,hpHjKjHL9hQ,Why You Should Boil Your Tofu | Food Scientist Explains,"Most tofu recipes skip the one step that changes everything: boiling. Many recipes call for pressing, freezing, or marinating tofu ...",Wendy the Food Scientist,why you should boil your tofu food scientist explains most tofu recipes skip the one step that changes everything boiling many recipes call for pressing freezing or marinating tofu,0
healthy cooking,LzWb_P4lYgA,How I Cook 20 Healthy Meals in 1 HOUR,Here's my easy method to cook a week's worth of healthy meals for 2 people in just 1 hour with minimal cleanup! Use code ...,Brian Lagerstrom ,how i cook 20 healthy meals in 1 hour here s my easy method to cook a week s worth of healthy meals for 2 people in just 1 hour with minimal cleanup use code,0
healthy cooking,m7Aj3xvfgaE,10 minute high protein low carb healthy dinner,,iRick Wiggins,10 minute high protein low carb healthy dinner,0
healthy cooking,Ea2wlMCYHhI,Blanching broccoli the right way. #food #recipe #cooking #healthy #dinner #salad #vegetables #foodie,,Cooktimestory,blanching broccoli the right way food recipe cooking healthy dinner salad vegetables foodie,0
healthy cooking,kbdHghIrTJU,Avoid Cooking With the Wrong Oils!  Dr. Mandell,,motivationaldoc,avoid cooking with the wrong oils dr mandell,0
healthy cooking,WNa6tf-wcL0,Healthy | 15 Minutes | Weightloss Friendly MASALA PANEER BOWL🥰,"15 minute - Summer Special Healthy, Quick & Delicious MASALA PANEER BOWL If you are looking for healthy meals that ...",Masterchef kriti dhiman,healthy 15 minutes weightloss friendly masala paneer bowl 15 minute summer special healthy quick delicious masala paneer bowl if you are looking for healthy meals that,0
healthy cooking,pdA_idnWTf8,5 Organic $15 Dinners 🥗 #mom #recipe #healthy #organic #mealideas #christianmama #groceries #food,,Mama’s on a Budget,5 organic 15 dinners mom recipe healthy organic mealideas christianmama groceries food,0
healthy cooking,B0qfFHMHbPI,Roasted Veggie Bowl | Easy &amp; Nourishing Vegan Meal Prep! 🥦🥕🌱✨,"This Roasted Veggie Bowl is the perfect healthy, balanced, and flavor-packed meal for any day of the week! ✨ Loaded with ...",Ahmad Noori,roasted veggie bowl easy amp nourishing vegan meal prep this roasted veggie bowl is the perfect healthy balanced and flavor packed meal for any day of the week loaded with,0
healthy cooking,YRdXjcHxDg8,Harvard Doctor : 3 Healthiest Pans to Cook with ‼️🚨,"Looking for the healthiest pans to cook your meals with? In this video, Dr. Sethi shares the top 3 non-toxic, durable pans that you ...",Doctor Sethi ,harvard doctor 3 healthiest pans to cook with looking for the healthiest pans to cook your meals with in this video dr sethi shares the top 3 non toxic durable pans that you,0
healthy cooking,2vO1CUtP4vI,EVERYTHING I COOK FOR MYSELF WHEN I&#39;M TRYING TO BE HEALTHY... | SAM THE COOKING GUY,We cook and eat our fair share of junk food on this channel - but every once in a while even I want to be a little healthy.,SAM THE COOKING GUY,everything i cook for myself when i 39 m trying to be healthy sam the cooking guy we cook and eat our fair share of junk food on this channel but every once in a while even i want to be a little healthy,0
healthy cooking,tJoz4Dh3qqI,High Protein Breakfast Hot Pockets🍳🥓 Only 328 Calories With 32g Protein! #highprotein #mealprep,,Aussie Fitness,high protein breakfast hot pockets only 328 calories with 32g protein highprotein mealprep,0
healthy cooking,ofxeWB61xtc,How to Cook Healthy Meals for One | Cooking for One Tips &amp; Tricks | Dietitian Q&amp;A | EatingWell,"Cooking for one is a surprisingly difficult craft to master… So many recipes are meant for a household of four to six, and the mental ...",EatingWell,how to cook healthy meals for one cooking for one tips amp tricks dietitian q amp a eatingwell cooking for one is a surprisingly difficult craft to master so many recipes are meant for a household of four to six and the mental,0
healthy cooking,66VdylXI0nQ,ANTI-INFLAMMATORY FOODS | what I eat every week,These are the anti-inflammatory foods I eat every week to reduce inflammation in my body. An anti-inflammatory diet can help with ...,Downshiftology,anti inflammatory foods what i eat every week these are the anti inflammatory foods i eat every week to reduce inflammation in my body an anti inflammatory diet can help with,0
healthy cooking,kslBNZSfzcI,"MOST DELICIOUS High Protein Creamy Cajun Chicken Pasta, ONLY 525 calories in One Pan! 🔥👨🏽‍🍳🥘",,Panacea Palm,most delicious high protein creamy cajun chicken pasta only 525 calories in one pan,0
healthy cooking,5vZ8XM5G5S0,meals prepped ready for a big week of training,,Olivia May,meals prepped ready for a big week of training,0
