seed_query,step,video_id,cluster
beginner guitar,0,CkU-qerFLpc,2
beginner guitar,0,FOV_qIIblNE,2
beginner guitar,0,Ofle1tlwrkQ,2
beginner guitar,0,sbFBW4YWsS0,2
beginner guitar,0,bS-GBqgTPyg,2
healthy cooking,0,hapjShCi254,0
healthy cooking,0,APwwGy4GzK8,0
healthy cooking,0,PesbDU3e1aI,0
healthy cooking,0,RwPQKHxnAdM,0
healthy cooking,0,mhDJNfV7hjk,0
stretching exercises,0,YIJndOqIcLU,1
stretching exercises,0,kOagT9QluUE,1
stretching exercises,0,EaowkLiLWVs,1
stretching exercises,0,2eA2Koq6pTI,1
stretching exercises,0,CyS_uzyXic8,1
beginner guitar,1,QTdD40Ay59g,2
beginner guitar,1,eqy21Xn_br8,2
beginner guitar,1,SIxHT-dNRvI,2
beginner guitar,1,gMgTN1COhTA,2
beginner guitar,1,ekd4mcdvWxU,2
beginner guitar,1,vcITKaBacnA,2
beginner guitar,1,KYjgMAIfW4c,2
beginner guitar,1,Trg8IjdXaPo,2
beginner guitar,1,CIMiDVGOAwo,2
beginner guitar,1,EbJ4ZCAPX5A,2
beginner guitar,1,ZVmZz1DNONE,2
beginner guitar,1,XUf_xWZVpZ8,2
beginner guitar,1,FbY0w2fb4-4,2
beginner guitar,1,7VSrnVEnX4g,2
beginner guitar,1,_tVWqBXct7Y,2
beginner guitar,1,ZL0fdXPXNhA,2
beginner guitar,1,tu4BGUkWIFE,2
beginner guitar,1,UkjMYVXQzhs,2
beginner guitar,1,yfDf9Bnli0s,0
beginner guitar,1,cHHUs9aQd-M,2
beginner guitar,1,iISXDnHBBfU,2
beginner guitar,1,Z76fXcV_h04,2
healthy cooking,1,YCU2Iyr6Xts,0
healthy cooking,1,OIwC6Jv55Hk,0
healthy cooking,1,rkmXwQuFyN4,0
healthy cooking,1,lte4p46z8xw,0
healthy cooking,1,oxXNklNgmbM,0
healthy cooking,1,AbhkBDyq6nU,0
healthy cooking,1,Ea2wlMCYHhI,0
healthy cooking,1,LXACilU9ies,0
healthy cooking,1,tVKCe1Werz4,0
healthy cooking,1,pdA_idnWTf8,0
healthy cooking,1,2WDIBat-Jgo,0
healthy cooking,1,WDwAFiNLmgI,0
healthy cooking,1,Qb5Amsjdw5Q,0
healthy cooking,1,LzWb_P4lYgA,0
healthy cooking,1,c1EpTfvPc84,0
healthy cooking,1,mjhaUqpBbJU,0
healthy cooking,1,5hs3Vfgenrg,0
healthy cooking,1,p6pqrxIHzo8,0
healthy cooking,1,y3GK-ahxpL4,0
healthy cooking,1,KiVmaYyfEsA,0
healthy cooking,1,2vO1CUtP4vI,0
healthy cooking,1,kNj3aPiudMg,2
healthy cooking,1,EFm2gbaXnWc,0
healthy cooking,1,izWRBNSVlc0,0
stretching exercises,1,lW1Kxykbn0k,1
stretching exercises,1,Yqk6KEPVrW0,1
stretching exercises,1,BGBXZHu7jBY,1
stretching exercises,1,AUsbthQ9W-I,1
stretching exercises,1,aO1boUJhjvk,1
stretching exercises,1,vvxnFNsnE6o,1
stretching exercises,1,LTb4Blvyf7g,2
stretching exercises,1,j5VsVh8dtsc,1
stretching exercises,1,-SD_MucCa6c,1
stretching exercises,1,s-7lyvblFNI,1
stretching exercises,1,HzXkMnvqojE,1
stretching exercises,1,GBDCcdRbvv0,1
stretching exercises,1,6FyHoo4Vfxg,1
stretching exercises,1,8AeojB3Nphg,1
stretching exercises,1,9X-4dGjcIcQ,1
stretching exercises,1,zHdye45tUBI,2
stretching exercises,1,Oic0YR6HW-o,1
stretching exercises,1,HVJ19uMATEM,1
stretching exercises,1,Lmr6nValYOA,1
stretching exercises,1,7_Gmj7awnWY,1
stretching exercises,1,npNod6rVZrs,1
stretching exercises,1,XQzqWAhiCJc,1
beginner guitar,2,lWc4Rs4_UsU,2
beginner guitar,2,7p96xoeiepo,2
beginner guitar,2,vN01ZrlnMeg,2
beginner guitar,2,brA0k0ey49s,2
beginner guitar,2,Z7xm_juNcPY,2
beginner guitar,2,3LUYd5vMAEo,2
beginner guitar,2,bAo_yiMukcQ,2
beginner guitar,2,pV6E07VHvko,2
beginner guitar,2,LTb4Blvyf7g,2
beginner guitar,2,SUrXsAhGu98,2
beginner guitar,2,LmsIdZmsIdU,2
beginner guitar,2,BnZ61MBYGRk,2
